Artist,Track,Popularity,Genre,Year
Lady Gaga; Bruno Mars , Die With A Smile ,99,Pop,Current
Soccer Mommy , Some Sunny Day ,41,Rock,Current
Jack White , It's Rough On Rats (If You're Asking) ,49,Rock,Current
Jhené Aiko , guidance ,55,R&B,Current
Mk.gee , Candy ,59,Rock,Current
Chappell Roan ," Good Luck, Babe!",93,Pop,Current
Blxst; Anderson .Paak , Dance With The Devil ,46,Pop,Current
Orion Sun , Already Gone ,45,R&B,Current
Ravyn Lenae; Childish Gambino , One Wish (feat. Childish Gambino) ,59,R&B,Current
Charli xcx , Everything is romantic ,67,Pop,Current
Tierra Whack , IMAGINARY FRIENDS ,33,R&B,Current
KAYTRANADA; PinkPantheress , Snap My Finger (feat. PinkPantheress) ,63,Electronic,Current
Lupe Fiasco , Cake ,45,Hip Hop,Current
Laura Marling , Caroline ,52,Folk,Current
Magdalena Bay , Watching T.V. ,56,Pop,Current
The Marías , No One Noticed ,85,Pop,Current
Sampha; Little Simz ,Satellite Business 2.0,45,Hip Hop,Current
Laura Marling , Your Girl ,47,Folk,Current
Magdalena Bay , The Ballad of Matt & Mica ,55,Pop,Current
beabadoobee , Take A Bite ,71,Rock,Current
Jack White , Terminal Archenemy Endling ,42,Rock,Current
Ravyn Lenae , Love Is Blind ,32,R&B,Current
Common; Pete Rock , Dreamin' ,43,Hip Hop,Current
Tommy Richman , MILLION DOLLAR BABY ,35,R&B,Current
Justice; Tame Impala , Neverender ,67,Electronic,Current
Kali Uchis , Never Be Yours ,67,R&B,Current
Caroline Polachek; Weyes Blood , Butterfly Net (feat. Weyes Blood) ,35,Pop,Current
SZA , Saturn ,85,R&B,Current
Muni Long , Made For Me ,68,R&B,Current
Lucky Daye , That's You ,39,R&B,Current
Little Simz , Far Away ,39,Electronic,Current
Brittany Howard , Red Flags ,35,Rock,Current
Hiatus Kaiyote , Everything’s Beautiful ,39,R&B,Current
Jamie xx; Honey Dijon , Baddy On The Floor ,58,Electronic,Current
Faye Webster; Lil Yachty , Lego Ring ,6,Rock,Current
Nia Archives , Crowded Roomz ,35,Electronic,Current
The Lemon Twigs , My Golden Years ,31,Rock,Current
Kamasi Washington , Prologue ,26,Jazz,Current
D'Angelo , Untitled (How Does It Feel) ,56,R&B,Previous
Steve Lacy; Fousheé , Sunshine (feat. Fousheé) ,54,R&B,Previous
Jordan Ward , Lil Baby Crush ,58,Pop,Previous
Tracy Chapman , Fast Car ,78,Rock,Previous
Lil B , I Love You ,38,Hip Hop,Previous
Mos Def , May-December ,36,Hip Hop,Previous
Gov't Mule , Soulshine ,45,Rock,Previous
D'Angelo , The Line ,40,R&B,Previous
Mac Ayres , Every Time ,39,R&B,Previous